id;number_of_ended_quests;psum;counts;overall;slength;last_time;traffic;acc_lifetime
20412675915593358;0;0;0;0.021944444444444444;1;1442.0272222222222;Viral traffic;1442.0480555555555
1592005934292040;0;0;0;0.03305555555555555;1;1441.9883333333332;fbadsN;1442.0158333333334
2148616858499660;0;0;0;0.17083333333333334;1;1441.8533333333332;fbads1;1442.0158333333334
1844724342216658;0;0;0;0.004166666666666667;1;1442.0019444444445;fbadsN;1441.9988888888888
3087444938452778;0;0;0;0.019166666666666665;1;1441.9341666666667;fbads1;1441.9486111111112
1930860093618844;0;0;0;0.04972222222222222;1;1441.9030555555555;fbadsN;1441.9486111111112
20412853499710722;0;0;0;0;1;1441.9416666666666;fbadsN;1441.931388888889
20410636204814498;0;0;0;0.018333333333333333;1;1441.8975;fbadsN;1441.9155555555556
20412438925193242;0;0;0;0.03027777777777778;1;1441.8816666666667;fbadsN;1441.8986111111112
1923930640966408;0;0;0;0.4766666666666667;1;1441.4155555555556;fbads1;1441.8822222222223
1478132139068274;0;0;0;0.008333333333333333;2;1441.8344444444444;fbadsN;1441.8658333333333
20411495035409172;0;0;0;0.008333333333333333;1;1441.8630555555555;fbadsN;1441.865
20407477065940794;0;0;0;0.010555555555555556;2;1427.1605555555554;Organic traffic;1441.8494444444445
1473868672803434;0;0;0;0.0011111111111111111;1;1441.8633333333332;Viral traffic;1441.8480555555554
1824861397592928;0;0;0;0.0002777777777777778;1;1441.8166666666666;fbads1;1441.8144444444445
1904093182949212;0;0;0;0.0077777777777777776;1;1441.7916666666667;fbadsN;1441.7977777777778
20406244146413514;0;0;0;0.011944444444444445;1;1441.7719444444444;fbadsN;1441.7813888888888
719041721800928;0;0;0;0.004722222222222222;1;1441.7836111111112;fbadsN;1441.7797222222223
20408081368805600;0;0;0;0.006944444444444444;1;1441.7366666666667;fbadsN;1441.7330555555557
20410694290509612;0;0;0;0.01638888888888889;1;1441.6986111111112;fbadsN;1441.7155555555555
3561236012;0;0;0;0.003611111111111111;1;1441.7197222222221;fbads;1441.7147222222222
651933181873000;0;0;0;0.03166666666666667;2;851.7269444444445;fbadsN;1441.6825
20412308312487202;0;0;0;0.009166666666666667;1;1441.685;fbadsN;1441.6822222222222
20410074277248850;0;0;0;0.4791666666666667;1;1441.205;fbadsN;1441.6822222222222
1213732172228428;0;0;0;0.06527777777777778;3;1274.3452777777777;fbadsN;1441.681388888889
20410125799412104;0;0;0;0.051111111111111114;1;1441.6216666666667;fbadsN;1441.6652777777779
20400654055067446;0;0;0;0.06805555555555555;1;1441.6027777777779;fbadsN;1441.665
200014798649556;0;0;0;0.0030555555555555557;1;1428.1175;fbads;1441.6463888888889
1738790599499264;0;0;0;0.11222222222222222;3;964.8486111111112;Organic traffic;1441.6463888888889
20305116150972296;0;0;0;0.014166666666666666;1;1441.6480555555556;fbadsN;1441.6455555555556
20411006674900676;0;0;0;0.0033333333333333335;1;1441.641111111111;fbadsN;1441.6308333333334
1310399755883408;0;0;0;0.03166666666666667;1;1441.5313888888888;fbadsN;1441.5658333333333
2823524278252792;0;0;0;0.013055555555555556;1;1441.5683333333334;fbads1;1441.565
200007511417700;0;0;0;0.0002777777777777778;1;1441.5758333333333;fbads;1441.5630555555556
855554628124642;0;0;0;0.03888888888888889;2;1418.8394444444446;fbadsN;1441.5613888888888
20407007112830734;0;0;0;0.008333333333333333;1;1441.5627777777777;fbadsN;1441.5611111111111
1317743230;0;0;0;0.30416666666666664;2;1441.1872222222223;fbads;1441.5475
20412405906843898;0;0;0;0.01;1;1441.5530555555556;fbadsN;1441.5472222222222
1521273068009734;0;0;0;0.0005555555555555556;1;1441.5180555555555;fbadsN;1441.516111111111
1032450257036846;0;0;0;0.7163888888888889;1;1440.8152777777777;fbads1;1441.5158333333334
20406848254231874;0;0;0;0.008055555555555555;1;1441.5055555555555;fbadsN;1441.4986111111111
2768185623814360;0;0;0;0.03361111111111111;1;1441.4697222222221;Viral traffic;1441.4983333333332
2112872882078864;0;0;0;0.0016666666666666668;1;1441.5;fbadsN;1441.4980555555555
2085513764813770;0;0;0;0.005277777777777778;2;1309.903611111111;fbadsN;1441.4830555555557
20408423909447190;0;0;0;0.03638888888888889;1;1441.4488888888889;fbadsN;1441.4825
1257825334388514;0;0;0;0.03222222222222222;1;1441.4633333333334;fbadsN;1441.4811111111112
20410802938135498;0;0;0;0.09694444444444444;2;1441.3572222222222;fbads1;1441.463611111111
1184701608467470;0;0;0;0.01638888888888889;1;1441.4386111111112;fbads1;1441.4480555555556
1661756960607458;0;0;0;0.0005555555555555556;1;1441.4433333333334;fbads1;1441.4322222222222
1854304281305542;0;0;0;0.042222222222222223;1;1441.3819444444443;fbadsN;1441.4155555555556
2117930848239092;0;0;0;0.0005555555555555556;1;1441.4241666666667;fbadsN;1441.415
3103492874;0;0;0;0.041944444444444444;1;1441.37;fbadsN;1441.3975
200004588303478;0;0;0;0.0038888888888888888;1;1441.4038888888888;fbads;1441.3969444444444
20305983062942562;0;0;0;0.0022222222222222222;3;846.0755555555555;fbadsN;1441.3822222222223
200006344202718;0;0;0;0.0002777777777777778;1;1441.3958333333333;fbads;1441.381111111111
20407829393775318;0;0;0;0.03361111111111111;1;1441.296111111111;fbadsN;1441.3152777777777
200013458988968;0;0;0;0.225;1;1441.1025;fbads;1441.315
20407465978699914;0;0;0;0.03361111111111111;3;261.23277777777776;fbadsN;1441.3125
635327836849260;0;0;0;0.05472222222222222;2;200.09666666666666;fbadsN;1441.3125
200001031804826;0;0;0;0.1613888888888889;1;1441.1425;fbads;1441.2983333333334
200001275828898;0;0;0;0.2675;1;1422.9419444444445;fbads;1441.2980555555555
20407693956542558;0;0;0;0.042777777777777776;2;1417.795;fbadsN;1441.2822222222221
1456765561217420;0;0;0;0.021111111111111112;1;1441.2591666666667;Organic traffic;1441.265
20410107897481720;0;0;0;0.001388888888888889;1;1441.2533333333333;fbadsN;1441.2494444444444
200000213914920;0;0;0;1.0169444444444444;3;1437.0716666666667;fbads;1441.2483333333332
1710073222439472;0;0;0;0.012222222222222223;1;1441.2252777777778;fbadsN;1441.2327777777778
20405876453211210;0;0;0;0.019444444444444445;1;1441.226111111111;fbadsN;1441.2302777777777
1574172182760968;0;0;0;0.08361111111111111;1;1441.1272222222221;fbadsN;1441.1986111111112
200001367951308;0;0;0;0.0016666666666666668;1;1441.1561111111112;fbads;1441.1827777777778
1282652145278336;0;0;0;0.024444444444444446;1;1441.173611111111;fbads1;1441.1827777777778
20405281262976960;0;0;0;0.01888888888888889;1;1441.1594444444445;fbads1;1441.1655555555556
